"id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"195967",2019-12-16 19:00:00,-32.4201402261981,-3.84849968667367,-3608.9935014269,-425.869700205569,0.47333619156288,0.550922766392019,2.04560289223256,1.58464029734826,0.885502560877772
"195967",2019-12-17 01:00:00,-32.4159429885474,-3.84812482592236,-3608.52626706888,-425.828155325405,0.203026375248843,0.221401583710261,2.04375329298737,1.57071523550577,0.885314900371452
"195967",2019-12-17 07:00:00,-32.4127677193444,-3.84849976010255,-3608.17279771808,-425.869708343511,0.205807347487347,0.0670524434931475,2.00022182483464,1.54303925727862,0.880820366195346
"195967",2019-12-17 13:00:00,-32.4138026240687,-3.8457970569409,-3608.288002785,-425.57017492172,0.251155372965867,0.333135305549634,1.99862324534739,1.54867817250243,0.880652451771193
"195967",2019-12-17 19:00:00,-32.4165660888285,-3.84715038581461,-3608.59563027489,-425.720160650389,0.646437975945338,0.88149572355697,2.03781674141903,1.68526081408053,0.884710767735471
"195967",2019-12-18 01:00:00,-32.4185295611609,-3.84765485031296,-3608.81420301512,-425.776069129418,0.31839348628896,0.379127719093822,2.06661161939504,1.7734470015161,0.88761539957365
"195967",2019-12-18 07:00:00,-32.4178015559975,-3.84687688664571,-3608.73316185104,-425.689849467888,2.12388893370437,2.89795976055296,2.10776090618609,1.87845335800377,0.891655212523451
"195967",2019-12-18 13:00:00,-32.4162636259748,-3.84570213884531,-3608.56196026403,-425.559655418479,3.86086732396372,5.27968495426856,2.14898112097861,1.96809828472911,0.895573528098607
"195967",2019-12-18 19:00:00,-32.4140601187002,-3.84420061734201,-3608.31666695627,-425.393246208149,5.50067875515694,7.52418408423543,2.18988342565987,2.04482264196549,0.899337353489683
"195967",2019-12-19 01:00:00,-32.4113259870828,-3.84243813690713,-3608.01230481685,-425.197916066073,7.01679722046638,9.59636663749171,2.23021332685942,2.11049186071538,0.902930058158531
"195967",2019-12-19 07:00:00,-32.4081899125861,-3.8404778138787,-3607.66319860079,-424.980660134345,8.38795986975502,11.4674397552336,2.26983230222989,2.1665470347315,0.906347554266252
"195967",2019-12-19 13:00:00,-32.4047768197214,-3.83838126915775,-3607.28325484106,-424.748307775454,9.59678516832196,13.1139665026632,2.30870031247009,2.21407945526771,0.909595036393686
"195967",2019-12-19 19:00:00,-32.4012098963115,-3.83620959297496,-3606.88618674338,-424.507629481791,10.6288487257549,14.516723850889,2.34685878890725,2.25387278697803,0.912684223300833
"195967",2019-12-20 01:00:00,-32.3976122198614,-3.83402412039811,-3606.4856952329,-424.265422814037,11.4721197535336,15.6599187043473,2.38441365956834,2.2864341164909,0.91563101931553
"195967",2019-12-20 07:00:00,-32.3941080748687,-3.83188705895469,-3606.09561559665,-424.028581953831,12.1166412383587,16.5307015129229,2.42151799079676,2.31202412618942,0.918453509222391
"195967",2019-12-20 13:00:00,-32.390824030808,-3.82986200236818,-3605.73003748408,-423.804154638913,12.5543743285084,17.1188966768938,2.4583538718435,2.33069103463158,0.921170211000801
"195967",2019-12-20 19:00:00,-32.3878898364509,-3.82801435753685,-3605.40340446235,-423.599389487889,12.7791566304595,17.4168920378994,2.49511325390176,2.3423099378213,0.923798530070757
"195967",2019-12-21 01:00:00,-32.385439173258,-3.8264117055534,-3605.13059788362,-423.421776020251,12.7867446469875,17.4196511740268,2.53197756900184,2.34662753773925,0.926353382483529
"195967",2019-12-21 07:00:00,-32.3836102986666,-3.82512411169979,-3604.92700849538,-423.279079027599,12.5749251556053,17.1248284880784,2.56909609002527,2.34331135860442,0.928845978639895
"195967",2019-12-21 13:00:00,-32.3825465990379,-3.82422439387584,-3604.80859799436,-423.179368345295,12.1436909290427,16.5329794426148,2.60656313600862,2.33200212663565,0.931282779345699
"195967",2019-12-21 19:00:00,-32.3823970617585,-3.82378835379562,-3604.79195158056,-423.13104450595,11.4954841845783,15.6478683043527,2.64439435366595,2.31236787869213,0.933664647808955
"195967",2019-12-22 01:00:00,-32.3833166665156,-3.82389497053284,-3604.89432151384,-423.142860229576,10.635517570067,14.4768848738505,2.68250238493714,2.28415851808357,0.935986220208113
"195967",2019-12-22 07:00:00,-32.3854666871919,-3.82462655167107,-3605.13366072072,-423.223937225997,9.57218849820634,13.0315916088935,2.72067222280169,2.2472599713943,0.938235500287758
"195967",2019-12-22 13:00:00,-32.3890148881749,-3.82606883345111,-3605.52864464739,-423.383777357041,8.31761000224713,11.3284361827227,2.7585364212476,2.20174788914536,0.940393648266287
"195967",2019-12-22 19:00:00,-32.3941355919541,-3.82831101781958,-3606.09867878459,-423.632266819511,6.88829371799401,9.3896888153627,2.79555001709229,2.14794207296864,0.942434881178276
"195967",2019-12-23 01:00:00,-32.4010095879781,-3.83144573083334,-3606.86388852169,-423.97967162766,5.30604936266268,7.24472340400158,2.8309644978449,2.08646458814372,0.94432633142451
"195967",2019-12-23 07:00:00,-32.4098238443078,-3.83556888269531,-3607.84508704804,-424.436622210601,3.59926837735916,4.93199651405568,2.86379936060457,2.01830683894326,0.946027621511004
"195967",2019-12-23 13:00:00,-32.4207709707246,-3.8407794033344,-3609.06371558641,-425.014084234719,1.80558975741077,2.50407769201211,2.89280867598343,1.94491353246902,0.947489797049512
"195967",2019-12-23 19:00:00,-32.4343753254899,-3.84734608262037,-3610.57814543146,-425.741849210809,0.126668214859246,0.249469625458671,2.91338289905074,1.87889286575271,0.948504050175135
"195967",2019-12-24 01:00:00,-32.4414803643333,-3.85254665712802,-3611.36907473756,-426.31821700643,0.729201760589462,0.423159441433394,2.91713950639929,1.86938001118161,0.948687229498138
